"© Blast Motion. All rights reserved.","","","","","","","","","","","","","","","","","","",""
"NOTE:  Access to and use of this data is subject to the Blast Motion terms of use and end user license agreement, which can be found at https://blastmotion.com/terms-of-service/","","","","","","","","","","","","","","","","","","",""
"E-mail:","dspopham96@gmail.com","","","","","","","","","","","","","","","","","",""
"Academy:","Blast Baseball Academy","","","","","","","","","","","","","","","","","",""
"Report Date:","05/23/2020 10:59 PM","","","","","","","","","","","","","","","","","",""
"Date Range:","04/24/2020 - 05/08/2020","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Date","Equipment","Handedness","Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"May 02, 2020 / 4:17:10 PM","Bat 33 in / 30 oz","Right","Tee","46","53","70","77.3","21","63","17","94","73","-35","5.02","0.15","24.1","","",""
"May 02, 2020 / 4:16:49 PM","Bat 33 in / 30 oz","Right","Tee","49","59","57","79.8","15.8","66","15","93","76","-37","5.34","0.15","23.6","","",""
"May 02, 2020 / 4:16:31 PM","Bat 33 in / 30 oz","Right","Tee","36","55","64","78.5","18.8","53","13","100","81","-39","5.23","0.15","23.7","","",""
"May 02, 2020 / 4:16:14 PM","Bat 33 in / 30 oz","Right","Tee","44","58","61","76.1","17.3","61","14","95","79","-39","4.85","0.15","23.9","","",""
"May 02, 2020 / 4:15:53 PM","Bat 33 in / 30 oz","Right","Tee","42","55","60","76.2","17.1","59","13","100","80","-38","4.8","0.15","23.7","","",""
"May 02, 2020 / 4:15:38 PM","Bat 33 in / 30 oz","Right","Tee","54","64","74","77.4","22.7","71","6","95","82","-44","5.38","0.14","25.3","","",""
"May 02, 2020 / 4:15:22 PM","Bat 33 in / 30 oz","Right","Tee","45","59","65","77.3","19.2","62","10","98","82","-42","5.07","0.15","24.5","","",""
"May 02, 2020 / 4:15:05 PM","Bat 33 in / 30 oz","Right","Tee","45","55","65","81.3","18.9","62","9","106","86","-39","5.69","0.15","24.3","","",""
"May 02, 2020 / 4:14:49 PM","Bat 33 in / 30 oz","Right","Tee","35","57","66","78.6","19.6","52","10","97","80","-40","5.25","0.15","24.4","","",""
"May 02, 2020 / 4:14:33 PM","Bat 33 in / 30 oz","Right","Tee","39","54","63","78.5","18.3","56","13","101","80","-37","5.16","0.15","24.2","","",""
"May 02, 2020 / 4:14:18 PM","Bat 33 in / 30 oz","Right","Tee","33","60","64","75","18.5","49","12","94","78","-41","4.71","0.15","23.9","","",""
"May 02, 2020 / 4:13:59 PM","Bat 33 in / 30 oz","Right","Tee","25","59","66","76.7","19.4","41","10","98","82","-40","5","0.15","24.4","","",""
"May 02, 2020 / 4:13:44 PM","Bat 33 in / 30 oz","Right","Tee","42","55","64","74.5","18.5","59","14","99","80","-38","4.54","0.16","23.3","","",""
"May 02, 2020 / 4:13:21 PM","Bat 33 in / 30 oz","Right","Tee","30","61","65","72.8","19.1","47","8","98","83","-41","4.45","0.15","23.8","","",""
"May 02, 2020 / 4:12:50 PM","Bat 33 in / 30 oz","Right","Tee","41","54","52","76.3","13.7","57","14","94","74","-35","4.58","0.16","22.3","","",""
"May 02, 2020 / 4:12:21 PM","Bat 33 in / 30 oz","Right","Tee","48","54","67","80.1","19.8","65","10","100","80","-34","5.45","0.15","23.9","","",""
"May 02, 2020 / 4:12:07 PM","Bat 33 in / 30 oz","Right","Tee","30","52","59","77","16.4","46","10","106","83","-34","4.85","0.16","23.7","","",""
"May 02, 2020 / 4:11:51 PM","Bat 33 in / 30 oz","Right","Tee","26","60","59","79.3","16.7","43","10","96","81","-37","5.14","0.16","23.6","","",""
"May 02, 2020 / 4:11:35 PM","Bat 33 in / 30 oz","Right","Tee","38","57","66","76.6","19.5","55","9","97","80","-36","5.05","0.15","24.2","","",""
"May 02, 2020 / 4:11:20 PM","Bat 33 in / 30 oz","Right","Tee","42","55","70","74.2","21.2","59","9","102","83","-39","4.68","0.15","24.9","","",""
"May 02, 2020 / 4:11:06 PM","Bat 33 in / 30 oz","Right","Tee","40","52","65","84.1","18.9","57","11","96","74","-29","6.1","0.15","24.1","","",""
"May 02, 2020 / 4:10:52 PM","Bat 33 in / 30 oz","Right","Tee","39","51","54","78.3","14.4","55","4","110","87","-36","5.28","0.15","22.7","","",""
"May 02, 2020 / 4:10:34 PM","Bat 33 in / 30 oz","Right","Tee","41","53","56","77.7","15.4","58","10","102","81","-32","5.13","0.15","22.6","","",""
"May 02, 2020 / 4:10:18 PM","Bat 33 in / 30 oz","Right","Tee","31","53","61","78.6","17.3","47","11","100","78","-35","5.18","0.15","23.9","","",""
"May 02, 2020 / 4:09:58 PM","Bat 33 in / 30 oz","Right","Tee","37","54","62","78.4","17.8","53","6","108","89","-40","5.36","0.15","23.5","","",""
"May 02, 2020 / 4:09:40 PM","Bat 33 in / 30 oz","Right","Tee","39","57","70","78.1","21.3","56","8","99","81","-39","5.4","0.14","24.3","","",""
"May 02, 2020 / 4:09:26 PM","Bat 33 in / 30 oz","Right","Tee","48","60","60","70","17","65","12","91","77","-43","3.91","0.16","23.7","","",""
"May 02, 2020 / 4:09:09 PM","Bat 33 in / 30 oz","Right","Tee","51","58","59","77.3","16.8","67","7","96","79","-37","5.08","0.15","23.6","","",""
"May 02, 2020 / 4:08:50 PM","Bat 33 in / 30 oz","Right","Tee","42","57","59","77.5","16.4","59","9","98","80","-37","4.98","0.15","23.2","","",""
"May 02, 2020 / 4:08:28 PM","Bat 33 in / 30 oz","Right","Tee","40","57","62","78.5","17.8","57","11","97","79","-37","5.17","0.15","23.7","","",""
"May 02, 2020 / 4:08:12 PM","Bat 33 in / 30 oz","Right","Tee","40","49","57","77.3","15.6","56","13","107","82","-38","5.08","0.15","23","","",""
"May 02, 2020 / 4:07:53 PM","Bat 33 in / 30 oz","Right","Tee","56","58","67","76.4","19.8","73","11","95","78","-40","5.03","0.15","23.8","","",""
"May 02, 2020 / 4:07:40 PM","Bat 33 in / 30 oz","Right","Tee","44","58","62","76.5","17.8","60","10","99","82","-41","5.03","0.15","24.2","","",""
